1 CHOD JAN KOWALSKI
CZAS	aX	aY	aZ	1462	0	0	0	
4509	17216	3320	-3376	
4511	17160	3504	-3316	
4514	17012	3868	-3328	
4517	17032	4096	-3364	
4524	16272	4500	-3276	
4527	16120	4520	-3320	
4530	15920	4596	-2920	
4533	15608	4668	-2760	
4536	15476	4692	-2236	
4538	15480	4420	-2028	
4541	15208	4432	-1676	
4544	15348	4412	-1140	
4547	15264	4600	-808	
4550	15348	4700	-836	
4552	15600	4912	-656	
4555	15916	4500	-592	
4558	16304	4204	-516	
4561	16792	4620	-552	
4564	17048	4432	-556	
4567	17376	4328	-680	
4570	17400	4268	-796	
4573	17340	3980	-932	
4576	17196	3788	-1056	
4579	17128	3768	-1084	
4581	16852	3988	-1292	
4584	16228	4084	-1156	
4591	15240	3484	-676	
4593	14792	3044	-380	
4596	14548	2852	-600	
4599	14036	2600	-304	
4602	13580	2516	-344	
4604	13232	2616	-336	
4608	13076	2660	-256	
4611	12840	2832	-496	
4614	12884	2696	-608	
4617	12776	2632	-504	
4619	12452	2680	-464	
4622	12460	2588	-668	
4625	12320	2700	-632	
4628	12212	2516	-604	
4630	12308	2496	-508	
4633	12096	2272	-308	
4636	12172	2300	-452	
4639	12160	2352	-220	
4642	12128	2180	-56	
4644	12360	2112	72	
4647	12360	2160	312	
4651	12344	2232	116	
4654	12080	2244	160	
4656	11932	2140	220	
4663	12040	2120	752	
4665	11908	2124	704	
4668	11872	2028	780	
4671	11920	1944	788	
4674	11984	1980	744	
4676	12160	1932	552	
4679	12276	1972	584	
4682	12384	1956	396	
4685	12452	1788	336	
4687	12612	1828	416	
